name,capacity_i,capacity_u,operational,lat,long
"Delkeskamp, Nortrup",25,25,2020,3280468.12487787,4176035.13950484
"PNM Niederauer Muhle, Kreuzau",130,90,2020,3076522.4157697,4073321.06008644
"Heinzel Papier, Raubling",60,50,2021,2743994.9771665,4479169.57545234
"Sonoco, Holywell Green",25,5,2018,3460528.37335352,3540742.91117876
"Lucart/Novatissue, Laval sur Vologne",16,20,out of order,2792364.04140944,4075728.96586341
"Essity, Rouen",40,20,2020,2964373.26595414,3676781.42497043
"Lucart, Borgo a Mozzano",30,30,2020,2318764.34313373,4364523.94469301
"Saica, Zaragoza,",150,110,2019,2126539.97181625,3414643.87170674
"Model AG, Weinfelden",35,1,2019,2717436.74710876,4253968.29742488
"Cartiere Saci SpA, Verona",15,10,2022,2481204.07864858,4398764.55305807
"Mayr Melnhof Karton AG, Frohnleiten",15,7,2018,2698707.70581088,4723928.52232289
"Ecobulhart, Glavinitsa",20,10,2018,2229474.32631188,5499680.01048509
"Fiskeby, Norrköping",30,15,2021,3958958.05934668,4681113.73886587
"Beskidy, Wadowice",20,7,2022,3018610.83544347,5001119.73224976
"StoraEnso, Varkaus",25,10,2018,4474870.76495074,5239660.17056663
"Mondi, Świecie",6,6,2018,3402288.1832247,4881064.86146291
"TOP, Tychy",3,3,2018,3039656.79383013,4962692.66653929
"PMP, Ćmielów",3,3,2018,3150317.45498558,5127027.16432677
